id,food_id,garden_id,phase1,phase2,phase3,phase4,phase5,created_at,updated_at
110,25,,Do not serve.,Do not serve.,"Blanch in hot water, finely chop, then cook.","Blanch in hot water, chop, then cook.",Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
111,26,,Serve finely pureed to a smooth consistency.,Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
112,27,,Serve finely pureed to a smooth consistency.,Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
113,28,,Cook before serving. Serve finely pureed to a smooth consistency.,Peel before serving. Serve soft enough to be mashed with the tongue.,Peel before serving. Serve soft enough to be mashed with the gums.,Peel before serving. Gradually move toward bite-sized pieces the child can chew.,"Season lightly and cut to an easy-to-eat size and texture. Avoid serving whole, and cut into quarters or similar.",2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
114,29,,"Peel, grate, and cook. Serve finely pureed to a smooth consistency.","Peel, cook until soft, and roughly mash. Serve soft enough to be mashed with the tongue.","Peel, cook until soft enough to mash with a finger, and cut into 5-7mm cubes. Serve soft enough to be mashed with the gums.","Leave the skin on, cook until soft enough to cut with a spoon, and cut into 1cm cubes. Gradually move toward bite-sized pieces the child can chew.",Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
115,30,,Do not serve.,Do not serve.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
116,31,,Boil until soft and remove the thin skins. Serve finely pureed to a smooth consistency.,Boil until soft and remove the thin skins. Serve soft enough to be mashed with the tongue.,Boil until soft and remove the thin skins. Serve soft enough to be mashed with the gums.,Boil until soft and remove the thin skins. Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
117,32,,Do not serve.,Do not serve.,Do not serve.,Pour boiling water over it to remove excess oil before cooking. Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
118,33,,Do not serve.,Do not serve.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
119,34,,Serve finely pureed to a smooth consistency.,Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
120,35,,"Serve boiled egg yolk softened to a smooth, runny consistency with a little hot water.","Serve boiled egg yolk (egg white can also be given once yolk is tolerated) softened to a smooth, runny consistency with a little hot water.",Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
121,36,,Serve finely pureed to a smooth consistency.,Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
122,53,,Serve finely pureed to a smooth consistency.,Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
123,37,,"Difficult to digest, so do not serve.","Difficult to digest, so do not serve.",Simmer until soft and finely chop before serving. Serve soft enough to be mashed with the gums.,Remove any tough bits and cut into bite-sized pieces. Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
124,38,,Serve finely pureed to a smooth consistency.,Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
125,39,,Serve finely pureed to a smooth consistency.,Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
126,40,,Serve finely pureed to a smooth consistency.,Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
127,41,,Do not serve.,Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
128,42,,Do not serve during the weaning period.,Do not serve during the weaning period.,Do not serve during the weaning period.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
129,43,,Do not serve during the weaning period.,Do not serve during the weaning period.,Do not serve during the weaning period.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
130,44,,"Always remove the seeds; give watermelon juice, or serve finely pureed to a smooth consistency.",Remove the seeds and roughly mash. Serve soft enough to be mashed with the tongue.,Remove the seeds and serve thin slices about 5mm square. Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
131,45,,Dilute the juice before serving.,"Remove the seeds and skin, and roughly mash only the soft flesh. Serve soft enough to be mashed with the tongue.","Remove the seeds and skin, and serve thin slices of only the soft flesh. Serve soft enough to be mashed with the gums.","Remove the seeds and skin, and cut only the soft flesh into easy-to-eat pieces. Gradually move toward bite-sized pieces the child can chew.",Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
132,46,,"Serve finely pureed to a smooth consistency. Until the completion stage, cook until soft before serving.","Serve soft enough to be mashed with the tongue. Until the completion stage, cook until soft before serving.","Serve soft enough to be mashed with the gums. Until the completion stage, cook until soft before serving.","Gradually move toward bite-sized pieces the child can chew. Until the completion stage, cook until soft before serving.",Season lightly and cut to an easy-to-eat size and texture. (Note: cook until the completion stage.),2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
133,47,,Crush and serve only the juice.,Never serve whole. Always cut into small pieces of an easy-to-eat size. Serve soft enough to be mashed with the tongue.,Never serve whole. Always cut into small pieces of an easy-to-eat size. Serve soft enough to be mashed with the gums.,"Never serve whole. Always cut into small pieces of an easy-to-eat size. Gradually move toward bite-sized pieces the child can chew, but serve with great care.","Season lightly and cut to an easy-to-eat size and texture. Avoid serving whole, and cut into quarters or similar.",2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
134,48,,Do not serve during the weaning period.,Do not serve during the weaning period.,Do not serve during the weaning period.,"Never serve whole. Cut into an easy-to-eat size. Gradually move toward bite-sized pieces the child can chew, but serve with great care.",Season lightly and cut to an easy-to-eat size and texture. Avoid serving whenever possible.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
135,49,,Do not serve during the weaning period.,Do not serve during the weaning period.,Do not serve during the weaning period.,Do not serve during the weaning period.,Serve with great care.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
136,50,,Do not serve.,Do not serve.,"Some baby-safe jellies exist, but serve with great care. Cup jelly can easily be inhaled into the airway, so be careful.","Some baby-safe jellies exist, but serve with great care. Cup jelly can easily be inhaled into the airway, so be careful.","Season lightly and cut to an easy-to-eat size and texture. Cup jelly can easily be inhaled into the airway, so be careful.",2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
137,51,,Do not serve during the weaning period.,Do not serve during the weaning period.,Do not serve during the weaning period.,"Gradually move toward bite-sized pieces the child can chew, but serve with great care.",Season lightly and cut to an easy-to-eat size and texture. Round foods like this are noted as a choking hazard.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
138,52,,Do not serve during the weaning period.,Do not serve during the weaning period.,Do not serve during the weaning period.,Do not serve during the weaning period.,Season lightly and cut to an easy-to-eat size and texture. Round individually wrapped cheese is noted as a choking hazard.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
139,54,,Do not serve.,Do not serve.,"Do not serve. Once blue-back fish can be eaten, it may be used to make dashi stock.",Gradually move toward bite-sized pieces the child can chew. Serve with great care.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
140,55,,Do not serve.,Do not serve.,"Chop, then boil to reduce fat and salt before serving. Serve soft enough to be mashed with the gums.",Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
141,56,,Do not serve.,Do not serve.,"Chop, then boil to reduce fat and salt before serving. Serve soft enough to be mashed with the gums.",Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
142,57,,Do not serve.,Do not serve.,"Chop, then boil to reduce fat and salt before serving. Serve soft enough to be mashed with the gums.",Gradually move toward bite-sized pieces the child can chew. Cutting it in half lengthwise adds a safety margin.,Season lightly and cut to an easy-to-eat size and texture. Cutting it in half lengthwise adds a safety margin.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
143,58,,Do not serve.,Do not serve.,Do not serve.,Do not serve.,"High in salt and quite chewy. If served, finely chop and mix into dishes in small amounts.",2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
144,59,,Do not serve.,Do not serve.,Do not serve.,Do not serve.,"High in salt and quite chewy. If served, finely chop and mix into dishes in small amounts.",2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
145,60,,Serve finely pureed to a smooth consistency.,Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
146,61,,Use only the leaf tips. Serve finely pureed to a smooth consistency.,Use only the leaf tips. Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
147,62,,Use only the leaves. Serve finely pureed to a smooth consistency.,Use only the leaves. Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
148,63,,Simmer and use only the florets. Serve finely pureed to a smooth consistency.,Simmer and use only the florets. Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
149,64,,Do not serve.,Do not serve.,Grate and cook thoroughly. Serve soft enough to be mashed with the gums.,Grate and cook thoroughly. Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
150,65,,Do not serve.,Do not serve.,Do not serve.,"Simmer until soft, or boil and then grate before serving.",Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
151,66,,Do not serve.,Do not serve.,Boil until soft before serving. Serve soft enough to be mashed with the gums.,Boil until soft before serving. Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
152,67,,Cook until soft and serve finely mashed to a smooth consistency.,"Cook until soft enough to mash with the tongue and roughly mash, or cut into 5mm cubes and cook.",Cook until soft enough to mash with the gums and cut into 7mm-1cm cubes before serving.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
153,68,,Do not serve.,Do not serve.,Cook and roughly mince. Serve soft enough to be mashed with the gums.,Cook the stems until soft enough to mash with a finger. Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
154,69,,Serve finely pureed to a smooth consistency.,Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
155,71,,Peel the thin membrane and strain. It can also be diluted with an equal amount of hot water.,Peel the thin membrane and finely chop before serving.,Peel the thin membrane and break into 8mm-1cm pieces before serving.,Peel the thin membrane and break into 1.5-2cm pieces before serving.,Cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
156,72,,Serve as juice.,"Peel the thin membrane, remove the seeds, and finely chop.","Peel the thin membrane, remove the seeds, and chop.","Peel the thin membrane, remove the seeds, and serve in easy-to-eat pieces.",Cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
157,73,,Do not serve.,Do not serve.,Use fresh pineapple. Serve soft enough to be mashed with the gums.,Use fresh pineapple. Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
158,76,,Do not serve.,Do not serve.,Do not serve.,Always remove excess salt and start with a very small amount.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
159,77,,Generally avoid serving. It is fine to use for making dashi stock.,Serve soft enough to be mashed with the tongue. Cutting across the fibers into about 1cm pieces makes it easier to eat.,Serve soft enough to be mashed with the gums. Cutting across the fibers into about 1cm pieces makes it easier to eat.,Gradually move toward bite-sized pieces the child can chew. Cutting across the fibers into about 1cm pieces makes it easier to eat.,Season lightly and cut to an easy-to-eat size and texture. Cutting across the fibers into about 1cm pieces makes it easier to eat.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
160,78,,Serve finely pureed to a smooth consistency.,Serve soft enough to be mashed with the tongue.,Serve soft enough to be mashed with the gums.,Gradually move toward bite-sized pieces the child can chew.,Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
161,79,,Avoid serving (do not give to children under 1 year old).,Avoid serving (do not give to children under 1 year old).,Avoid serving (do not give to children under 1 year old).,Avoid serving (do not give to children under 1 year old).,Season lightly and cut to an easy-to-eat size and texture. Only from age 1 and up.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
162,80,,Avoid serving to children age 5 or under.,Avoid serving to children age 5 or under.,Avoid serving to children age 5 or under.,Avoid serving to children age 5 or under.,Avoid serving to children age 5 or under.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
163,81,,Do not serve during the weaning period.,Do not serve during the weaning period.,Do not serve during the weaning period.,"Gradually move toward bite-sized pieces the child can chew, but serve with great care.","Season lightly and cut to an easy-to-eat size and texture. Avoid serving whole, and cut into quarters or similar.",2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
164,82,,Do not serve during the weaning period.,Do not serve during the weaning period.,Do not serve during the weaning period.,"Gradually move toward bite-sized pieces the child can chew, but serve with great care.",Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
165,84,,Do not serve during the weaning period.,Do not serve during the weaning period.,Do not serve during the weaning period.,"Gradually move toward bite-sized pieces the child can chew, but serve with great care.",Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
166,85,,Do not serve during the weaning period.,Do not serve during the weaning period.,Do not serve during the weaning period.,"Gradually move toward bite-sized pieces the child can chew, but serve with great care.",Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
167,86,,Do not serve during the weaning period.,Do not serve during the weaning period.,Do not serve during the weaning period.,"Gradually move toward bite-sized pieces the child can chew, but serve with great care.",Season lightly and cut to an easy-to-eat size and texture.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
168,87,,Do not serve.,Boil until soft and cut the noodles short before serving.,Boil until soft and cut the noodles short before serving.,Boil until soft and cut the noodles short before serving.,"Cut the noodles to about 1/3-1/2 the length served to adults, and keep them on the softer side, checking texture/firmness.",2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
169,88,,Do not serve.,"Crush finely, add milk, and bring to a brief boil (heat through).",Crush and pour over formula or warmed milk.,Serve with great care.,Serve with great care.,2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
170,89,,"Do not serve. Even when offering snacks, avoid solid or hard textures and match the consistency to the child's stage (smooth/soft).","Even past the target age, serve with great care.","Even past the target age, serve with great care.","Even past the target age, serve with great care.","Even past the target age, serve with great care.",2026-08-06 09:34:51.904111+00,2026-08-06 09:34:51.904111+00
